日付,終値,,,,,
2021/12/9,70.94,,,,,
2021/12/8,72.36,,,,,
2021/12/7,72.05,,,,,
2021/12/6,69.49,,,,,
2021/12/3,66.26,,,,,
2021/12/2,66.5,,,,,
2021/12/1,65.57,,,,,
2021/11/30,66.18,,,,,
2021/11/29,69.95,,,,,
2021/11/26,68.15,,,,,
2021/11/25,77.41,,,,,
2021/11/24,78.39,,,,,
2021/11/23,78.5,,,,,
2021/11/22,76.75,,,,,
2021/11/19,76.1,,,,,
2021/11/18,79.01,,,,,
2021/11/17,78.36,,,,,
2021/11/16,80.76,,,,,
2021/11/15,80.88,,,,,
2021/11/12,80.79,,,,,
2021/11/11,81.59,,,,,
2021/11/10,81.34,,,,,
2021/11/9,84.15,,,,,
2021/11/8,81.93,,,,,
2021/11/5,81.27,,,,,
2021/11/4,78.81,,,,,
2021/11/3,80.86,,,,,
2021/11/2,83.91,,,,,
2021/11/1,84.05,,,,,
2021/10/29,83.57,,,,,
2021/10/28,82.81,,,,,
2021/10/27,82.66,,,,,
2021/10/26,84.65,,,,,
2021/10/25,83.76,,,,,
2021/10/22,83.76,,,,,
2021/10/21,82.5,,,,,
2021/10/20,83.87,,,,,
2021/10/19,82.96,,,,,
2021/10/18,82.44,,,,,
2021/10/15,82.28,,,,,
2021/10/14,81.31,,,,,
2021/10/13,80.44,,,,,
2021/10/12,80.64,,,,,
2021/10/11,80.52,,,,,
2021/10/8,79.35,,,,,
2021/10/7,78.3,,,,,
2021/10/6,77.43,,,,,
2021/10/5,78.93,,,,,
2021/10/4,77.62,,,,,
2021/10/1,75.88,,,,,
2021/9/30,75.03,,,,,
2021/9/29,74.83,,,,,
2021/9/28,75.29,,,,,
2021/9/27,75.45,,,,,
2021/9/24,73.98,,,,,
2021/9/23,73.3,,,,,
2021/9/22,72.23,,,,,
2021/9/21,70.56,,,,,
2021/9/20,70.29,,,,,
2021/9/17,71.97,,,,,
2021/9/16,72.61,,,,,
2021/9/15,72.61,,,,,
2021/9/14,70.46,,,,,
2021/9/13,70.45,,,,,
2021/9/10,69.72,,,,,
2021/9/9,68.14,,,,,
2021/9/8,69.3,,,,,
2021/9/7,68.35,,,,,
2021/9/6,68.8,,,,,
2021/9/5,68.75,,,,,
2021/9/3,69.29,,,,,
2021/9/2,69.99,,,,,
2021/9/1,68.59,,,,,
2021/8/31,68.5,,,,,
2021/8/30,69.21,,,,,
2021/8/27,68.74,,,,,
2021/8/26,67.42,,,,,
2021/8/25,68.36,,,,,
2021/8/24,67.54,,,,,
2021/8/23,65.64,,,,,
2021/8/20,62.32,,,,,
2021/8/19,63.69,,,,,
2021/8/18,65.46,,,,,
2021/8/17,66.59,,,,,
2021/8/16,67.29,,,,,
2021/8/13,68.44,,,,,
2021/8/12,69.09,,,,,
2021/8/11,69.25,,,,,
2021/8/10,68.29,,,,,
2021/8/9,66.48,,,,,
2021/8/6,68.28,,,,,
2021/8/5,69.09,,,,,
2021/8/4,68.15,,,,,
2021/8/3,70.56,,,,,
2021/8/2,71.26,,,,,
2021/7/30,73.95,,,,,
2021/7/29,73.62,,,,,
2021/7/28,72.39,,,,,
2021/7/27,71.65,,,,,
2021/7/26,71.91,,,,,
2021/7/23,72.07,,,,,
2021/7/22,71.91,,,,,
2021/7/21,70.3,,,,,
2021/7/20,67.42,,,,,
2021/7/19,66.42,,,,,
2021/7/16,71.81,,,,,
2021/7/15,71.65,,,,,
2021/7/14,73.13,,,,,
2021/7/13,75.25,,,,,
2021/7/12,74.1,,,,,
2021/7/9,74.56,,,,,
2021/7/8,72.94,,,,,
2021/7/7,72.2,,,,,
2021/7/6,73.37,,,,,
2021/7/5,76.25,,,,,
2021/7/4,75.14,,,,,
2021/7/2,75.16,,,,,
2021/7/1,75.23,,,,,
2021/6/30,73.47,,,,,
2021/6/29,72.98,,,,,
2021/6/28,72.91,,,,,
2021/6/25,74.05,,,,,
2021/6/24,73.3,,,,,
2021/6/23,73.08,,,,,
2021/6/22,73.06,,,,,
2021/6/21,73.66,,,,,
2021/6/18,71.64,,,,,
2021/6/17,71.04,,,,,
2021/6/16,72.15,,,,,
2021/6/15,72.12,,,,,
2021/6/14,70.88,,,,,
2021/6/11,70.91,,,,,
2021/6/10,70.29,,,,,
2021/6/9,69.96,,,,,
2021/6/8,70.05,,,,,
2021/6/7,69.23,,,,,
2021/6/4,69.62,,,,,
2021/6/3,68.81,,,,,
2021/6/2,68.83,,,,,
2021/6/1,67.72,,,,,
2021/5/31,66.96,,,,,
2021/5/30,66.59,,,,,
2021/5/28,66.32,,,,,
2021/5/27,66.85,,,,,
2021/5/26,66.21,,,,,
2021/5/25,66.07,,,,,
2021/5/24,66.05,,,,,
2021/5/21,63.58,,,,,
2021/5/20,62.05,,,,,
2021/5/19,63.36,,,,,
2021/5/18,65.49,,,,,
2021/5/17,66.27,,,,,
2021/5/14,65.37,,,,,
2021/5/13,63.82,,,,,
2021/5/12,66.08,,,,,
2021/5/11,65.28,,,,,
2021/5/10,64.92,,,,,
2021/5/7,64.9,,,,,
